식품명,식품대분류명,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식품중량
피자_페퍼로니 피자 더블치즈 페퍼로니 엣지 (M),브런치,288,23.61,14.15,14.16,3.17,664g
피자_페퍼로니 피자 더블치즈 엣지 (L),브런치,275,25.1,12.68,13.77,2.21,1054g
피자_페퍼로니 피자 더블치즈 엣지 (M),브런치,286,23.15,13.79,15.31,3.27,644g
피자_페퍼로니 피자 슈퍼시드 화이버 버스트 오리지널 (L),브런치,328,25.61,15.38,13.76,3.45,1046g
피자_페퍼로니 피자 슈퍼시드 화이버 엣지 오리지널 (L),브런치,324,24.62,15.51,10.06,2.72,1017g
피자_페퍼로니 피자 슈퍼시드 화이버 엣지 오리지널 (M),브런치,333,26.48,15.78,8.05,2.15,614g
피자_페퍼로니 피자 슈퍼시드 화이버 오리지널 (L),브런치,274,29.11,12.5,11.9,2.6,860g
피자_페퍼로니 피자 슈퍼시드 화이버 오리지널 (M),브런치,270,32.65,12.0,9.93,2.0,498g
피자_페퍼로니 피자 슈화 더블 치즈 페퍼로니 엣지 (L),브런치,326,24.32,15.9,14.69,2.62,1057g
피자_페퍼로니 피자 슈화 더블 치즈 페퍼로니 엣지 (M),브런치,334,26.47,16.09,13.54,2.09,634g
피자_페퍼로니 피자 오리지널 (M),브런치,275,30.3,12.5,11.53,3.19,500g
피자_페퍼로니 피자 치즈버스트 나폴리 (L),브런치,284,20.26,13.43,16.55,2.33,875g
피자_페퍼로니 피자 치즈버스트 오리지널 (L),브런치,275,23.8,12.43,14.44,2.38,1084g
피자_포테이토 피자 나폴리 (M),브런치,236,24.32,10.28,10.84,2.46,506g
피자_포테이토 피자 더블치즈 페퍼로니 엣지 (L),브런치,241,22.34,11.56,11.07,2.36,1385g
피자_포테이토 피자 더블치즈 페퍼로니 엣지 (M),브런치,248,23.5,11.68,12.17,1.55,787g
피자_포테이토 피자 더블치즈 엣지 (L),브런치,237,20.61,11.14,12.2,2.43,1345g
피자_포테이토 피자 더블치즈 엣지 (M),브런치,245,24.2,11.31,11.39,1.59,767g
피자_포테이토 피자 슈퍼시드 화이버 버스트 오리지널 (L),브런치,265,24.29,11.27,10.59,3.17,1326g
피자_포테이토 피자 슈퍼시드 화이버 엣지 오리지널 (L),브런치,262,23.48,11.36,7.62,2.6,1297g
피자_포테이토 피자 슈퍼시드 화이버 엣지 오리지널 (M),브런치,279,23.31,11.93,7.61,2.13,742g
피자_포테이토 피자 슈퍼시드 화이버 오리지널 (L),브런치,223,26.71,9.0,8.67,2.5,1140g
피자_포테이토 피자 슈퍼시드 화이버 오리지널 (M),브런치,227,27.63,8.8,9.02,2.0,626g
피자_포테이토 피자 슈화 더블 치즈 페퍼로니 엣지 (L),브런치,266,23.28,11.79,11.35,2.52,1337g
피자_포테이토 피자 슈화 더블 치즈 페퍼로니 엣지 (M),브런치,282,23.39,12.29,12.18,2.07,762g
피자_포테이토 피자 치즈버스트 오리지널 (L),브런치,232,20.87,10.09,12.05,3.29,1376g
피자_포테이토 피자 (L),브런치,296,35.46,15.73,10.19,3.17,614g
피자_프리미엄불고기 피자 (L),브런치,307,38.11,14.33,10.76,3.91,492g
피자_하와이안 피자 (L),브런치,297,34.36,17.08,10.16,4.83,580g
피자_할라불고기 피자 (L),브런치,215,23.1,12.03,8.31,5.49,885g
피자_화이트포테이토 피자 (L),브런치,255,20.99,10.16,8.88,4.5,1041g
피자빵_쫄깃한피자빵,브런치,260,31.0,5.0,14.0,5.0,100g
피자빵_바토베듬뿍베이글피자,브런치,286,33.04,7.14,13.39,7.14,112g
피자빵_햄치콘듬뿍베이글피자,브런치,373,25.37,8.96,26.12,4.48,134g
핫도그_멕시칸 칠리 핫도그,브런치,258,28.0,10.22,11.56,8.44,225g
핫도그_오리지날 핫도그,브런치,267,28.8,5.6,14.4,4.8,125g
핫도그_오리지널 핫도그,브런치,310,34.55,10.3,14.55,10.91,165g
핫도그_모짜렐라&소시지반반핫도그,브런치,294,31.25,11.25,13.75,7.5,80g
핫도그_치즈덕,브런치,266,21.21,8.48,16.36,3.64,100g
핫도그_칠리덕,브런치,265,22.42,8.48,15.76,6.06,100g
허니브레드_갈릭 버터 브레드,빵,365,53.13,10.42,12.5,4.17,192g
허니브레드_허니 넛트 브레드,빵,433,37.72,7.02,28.51,10.53,228g
허니브레드_허니 버터 브레드,빵,404,51.48,8.15,17.78,10.0,270g
호떡_쫀득흑당호떡,빵,377,51.82,5.45,17.27,20.91,110g
호밀빵_멀티그레인 호밀브레드,빵,263,37.33,8.0,8.0,2.67,150g
효모빵_건포도 천연효모빵 (H),빵,271,54.93,7.04,3.17,13.38,142g
효모빵_건포도 토종효모빵,빵,272,55.09,6.67,3.16,13.68,285g
효모빵_쫄깃담백 토종효모빵,빵,266,48.97,9.66,3.45,3.45,290g
효모빵_쫄깃담백 토종효모빵 (H),빵,266,48.97,9.66,3.45,3.45,145g
비스킷/쿠키/크래커_그릭요거트그래놀라바,빵,429,71.43,5.71,12.86,25.71,35g
비스킷/쿠키/크래커_꿀오란다,빵,500,53.33,13.33,26.67,23.33,30g
비스킷/쿠키/크래커_베어베터 쿠키,빵,495,65.45,6.18,22.73,30.0,55g
비스킷/쿠키/크래커_코코넛 로쉐,빵,516,62.9,6.7,26.4,46.2,95g
비스킷/쿠키/크래커_현미누룽지칩,빵,403,87.33,8.0,2.33,0.67,30g
비스킷/쿠키/크래커_갈레트브르통 (L),빵,591,50.6,5.9,40.5,18.6,70g
비스킷/쿠키/크래커_다크초콜릿마카다미아 쿠키,빵,450,56.67,3.33,23.33,30.0,30g
비스킷/쿠키/크래커_더블퍼지 쿠키,빵,433,60.0,6.67,20.0,36.67,30g
비스킷/쿠키/크래커_돼지바 쿠키,빵,384,37.5,5.83,21.67,19.17,120g
비스킷/쿠키/크래커_아몬드 로쉐,빵,512,54.0,16.2,25.7,39.8,95g
비스킷/쿠키/크래커_약과 쿠키,빵,452,78.46,4.62,12.31,33.08,130g
비스킷/쿠키/크래커_잉글리쉬토피 쿠키,빵,450,60.0,3.33,20.0,30.0,30g
비스킷/쿠키/크래커_코코아망 (L),빵,563,46.3,9.5,37.7,23.0,70g
비스킷/쿠키/크래커_크랜베리월넛 쿠키,빵,433,60.0,6.67,20.0,30.0,30g
비스킷/쿠키/크래커_크로켄트 (L),빵,556,47.3,10.2,36.2,14.0,70g
비스킷/쿠키/크래커_퍼지월넛 쿠키,빵,450,53.33,6.67,26.67,26.67,30g
웨이퍼_크리스피초콜릿웨이퍼,빵,528,55.0,7.0,31.0,36.0,50g
젤리_트로피컬원더젤리,빵,328,82.0,0.0,0.0,70.0,40g
소금빵_고짠고짠소금버터링,빵,325,46.67,8.33,11.67,3.33,60g
소금빵_발효버터 명란소금빵,빵,392,41.54,7.69,21.54,7.69,65g
소금빵_발효버터 소금빵,빵,373,49.09,7.27,16.36,9.09,55g
소금빵_앙버터 소금빵,빵,376,47.63,7.63,17.88,8.88,80g
소금빵_앙버터 소금빵 (L),빵,381,47.66,7.66,18.34,9.03,145g
크로플_감당해봐 대왕크로플,빵,307,38.18,7.27,10.91,4.55,110g
크로플_고소해 아몬드 땅콩크림 크로플,빵,213,25.83,8.33,15.83,5.83,120g
크로플_과일폭탄 생크림&커스터드&과일 크로플,빵,189,22.58,3.23,5.16,7.42,310g
크로플_꾸덕꿀덕 파크림치즈 크로플,빵,255,13.68,5.26,13.16,3.16,190g
크로플_내맘담은 종합과자세트 크로플,빵,237,31.54,4.62,9.62,11.92,260g
크로플_녹차 아이스크림 크로플,빵,183,21.46,3.41,8.78,12.2,205g
크로플_누텔라 위에 뛰노는 큐브치즈 크로플,빵,357,41.11,6.67,16.67,17.78,90g
크로플_누텔라 초코 딸기 크로플,빵,255,28.0,4.0,13.0,19.0,100g
크로플_누텔라 초코 바나나 크로플,빵,250,25.0,5.0,13.0,15.0,100g
크로플_누텔라 초코듬뿍 딸기 크로플 딸기청,빵,363,43.0,6.0,15.0,23.0,100g
크로플_누텔라 초코듬뿍 딸기 크로플 생딸기,빵,241,26.43,3.57,6.43,10.0,140g
크로플_누텔라 초코듬뿍 마시멜로 크로플,빵,351,54.22,6.02,10.84,26.51,83g
크로플_누텔라 초코듬뿍 바나나 크로플,빵,223,33.6,4.0,7.2,15.2,125g
크로플_누텔라 초코듬뿍 크로플,빵,358,46.15,7.69,13.85,16.92,65g
크로플_누텔라 초코범벅에 미치다,빵,281,35.33,6.0,11.33,10.0,150g
크로플_누텔라 초코범벅에 미치다 딸기,빵,251,29.47,4.74,8.42,8.42,190g
크로플_누텔라 초코범벅에 미치다 바나나,빵,226,31.5,4.5,8.0,11.0,200g
크로플_누텔라 초코범벅에 미치다 생딸기&바나나,빵,216,28.89,4.0,7.11,10.22,225g
크로플_누텔라 초코범벅에 미치다 생딸기&블루베리,빵,221,25.96,3.83,6.81,8.09,235g
크로플_누텔라 초코범벅에 미치다 이쁜 너를 위한 생딸기,빵,251,29.47,4.74,8.42,8.42,190g
크로플_누텔라 크로플,빵,225,22.0,4.0,12.0,17.0,100g
크로플_눈꽃 브라운치즈 크로플,빵,361,40.0,8.57,17.14,12.86,70g
크로플_눈꽃 카스텔라 범벅 크로플 생크림 카스텔라,빵,239,32.22,5.56,8.89,8.89,90g
크로플_눈꽃 카스텔라 범벅 크로플 커스터드 카스텔라,빵,301,41.11,5.56,11.11,12.22,90g
크로플_달콤고소 인절미 크로플,빵,325,36.25,8.75,15.0,10.0,80g
크로플_두겹 체다치즈 크로플,빵,208,24.44,11.11,17.78,3.33,90g
크로플_딸기 아이스크림 크로플,빵,235,19.6,6.5,13.8,18.8,100g
크로플_딸기 아이스크림 크로플,빵,179,22.93,3.41,7.32,13.66,205g
크로플_땅콩범벅이 고소한 초코 크로플,빵,458,54.55,10.91,27.27,27.27,165g
크로플_로투스 크로플 생크림,빵,267,36.0,5.0,10.0,12.0,100g
크로플_로투스 크로플 초코커스터드크림,빵,356,47.0,6.0,15.0,18.0,100g
크로플_로투스 크로플 커스터드크림,빵,323,44.0,6.0,13.0,15.0,100g
크로플_마약크림 딸기 크로플,빵,221,25.0,4.0,14.0,12.0,100g
크로플_마약크림 브륄레 크로플,빵,232,21.0,4.0,15.0,17.0,100g
크로플_마약크림 티라미슈 크로플,빵,240,26.5,5.0,13.7,13.0,100g
크로플_매력무엇 돼지바 크로플,빵,375,67.5,5.0,9.17,42.5,120g
크로플_목구멍이 포도 청포도 크로플 생크림,빵,185,26.36,3.64,6.36,9.09,110g
크로플_목구멍이 포도청포도 크로플 커스터드크림,빵,235,33.64,4.55,8.18,11.82,110g
크로플_바닐라 아이스크림 크로플,빵,231,18.0,6.8,15.2,17.0,100g
크로플_바닐라 아이스크림 크로플,빵,168,18.54,3.41,11.22,10.24,205g
크로플_바질 크로플,빵,222,12.0,4.0,11.0,9.0,100g
크로플_붕X싸만코 크로플,빵,221,18.5,5.0,11.46,10.0,100g
크로플_붕어둥절 붕어싸만코 크로플,빵,252,38.0,4.0,8.0,15.0,100g
크로플_브라운 치즈 크로플,빵,228,20.0,6.0,12.5,10.0,100g
크로플_블루베리요거트 아이스크림 크로플,빵,175,23.41,3.41,7.32,14.63,205g
크로플_사장님은 외계인 크로플,빵,237,23.0,8.2,21.0,20.0,100g
크로플_생크림 고구마구마 크로플,빵,244,38.0,4.0,7.0,16.0,100g
크로플_생크림 과일폭탄 크로플,빵,245,27.7,7.3,14.0,18.7,100g
크로플_생크림 듬뿍 딸기 크로플 딸기청,빵,217,28.0,4.0,7.0,8.0,100g
크로플_생크림 듬뿍 딸기 크로플 생딸기,빵,112,19.35,3.23,4.52,5.81,155g
크로플_생크림 듬뿍 망고 크로플,빵,160,29.57,3.48,6.09,11.3,115g
크로플_생크림 듬뿍 블루베리 크로플,빵,163,30.0,3.64,6.36,11.82,110g
크로플_생크림 딸기 크로플,빵,235,23.0,4.0,14.0,10.0,100g
크로플_생크림 딸기잼 크로플,빵,360,68.0,5.0,7.0,45.0,100g
크로플_생크림 로투스 크로플,빵,265,27.5,4.3,15.2,11.0,100g
크로플_생크림 망고 크로플,빵,219,25.0,4.0,14.0,10.0,100g
크로플_생크림 망고치즈케이크 크로플,빵,253,27.0,6.0,13.0,16.0,100g
크로플_생크림 바나나 브륄레 크로플,빵,124,33.12,2.55,4.46,5.1,157g
크로플_생크림 블루베리 크로플,빵,215,22.7,4.0,13.0,8.0,100g
크로플_생크림 샤인머스캣 크로플,빵,226,21.2,4.0,14.0,9.0,100g
크로플_생크림 애플잼 크로플,빵,457,91.0,4.0,7.0,65.0,100g
크로플_생크림 오레오 크로플,빵,288,33.0,5.0,15.5,20.0,100g
크로플_생크림 위에 뛰노는 큐브퐁듀 크로플,빵,275,33.33,5.0,12.5,15.83,120g
크로플_생크림 청포도 크로플,빵,220,17.6,3.0,11.0,8.0,100g
크로플_생크림 큐브망고 크로스 크로플,빵,206,30.48,3.81,6.67,11.43,105g
크로플_생크림 큐브블루베리 크로스 크로플,빵,208,30.48,3.81,6.67,12.38,105g
크로플_생크림인절미 크로플,빵,253,28.18,6.36,11.82,9.09,110g
크로플_스팸완전차단 두겹체다치즈 크로플,빵,244,19.23,11.54,20.77,4.62,130g
크로플_앙증맞은 앙버터 크로플,빵,431,38.89,5.56,27.78,11.11,90g
크로플_애플사과 시나몬 크로플,빵,288,46.25,5.0,7.5,20.0,80g
크로플_오레오 크로플 생크림,빵,235,36.36,4.55,9.09,10.0,110g
크로플_오레오 크로플 초코커스터드크림,빵,322,45.0,5.0,14.0,15.0,100g
크로플_오레오 크로플 커스터드크림,빵,289,42.0,5.0,12.0,12.0,100g
크로플_와플보다 맛있는 플레인 크로플 빵,빵,275,60.0,7.0,0.8,1.0,260g
크로플_인생팥 크로플,빵,239,24.7,6.5,12.0,17.7,100g
크로플_인절미 크로플,빵,230,30.0,5.0,12.0,13.5,100g
크로플_전여친 생각 크로플 생크림,빵,360,68.0,5.0,7.0,45.0,100g
크로플_전여친 생각 크로플 크림치즈,빵,305,28.18,6.36,18.18,10.0,110g
크로플_체다치즈 크로플,빵,222,18.0,4.0,13.0,9.0,100g
크로플_초땅 반반크로스 크로플,빵,472,64.81,8.33,23.15,36.11,108g
크로플_초코 아이스크림 크로플,빵,234,18.7,7.0,14.9,17.2,100g
크로플_초코 아이스크림 크로플,빵,188,22.93,3.41,8.78,13.66,205g
크로플_치즈몽땅 크로플,빵,300,32.95,10.23,19.32,10.23,88g
크로플_치즈범벅 크로플,빵,235,25.0,5.0,15.0,11.0,100g
크로플_카라멜 브라운치즈 크로플,빵,359,42.67,8.0,16.0,14.67,75g
크로플_카이막 크로플,빵,220,15.0,6.0,14.75,11.0,100g
크로플_커스터드 브륄레 크로플,빵,310,45.56,5.56,10.0,20.0,90g
크로플_커스터드에 반한 딸기 크로플 딸기청,빵,273,35.0,5.0,9.0,11.0,100g
크로플_커스터드에 반한 딸기 크로플 생딸기,빵,267,33.0,5.0,9.0,9.0,100g
크로플_쿠앤크 아이스크림 크로플,빵,233,19.0,6.0,14.0,15.0,100g
크로플_쿠앤크 아이스크림 크로플,빵,182,21.95,3.41,8.29,12.2,205g
크로플_크림씨와 인절미양 크로플,빵,238,42.0,6.0,13.0,18.0,100g
크로플_크림치즈 엎은 누텔라 크로플,빵,351,29.52,7.62,21.9,10.48,105g
크로플_크림치즈&누텔라 크로플,빵,242,28.0,5.0,13.8,19.0,100g
크로플_티라미수 크로플 생크림,빵,267,26.0,10.0,13.0,4.0,100g
크로플_티라미수 크로플 초코커스터드 크림,빵,326,32.0,10.0,16.0,8.0,100g
크로플_티라미수 크로플 커스터드 크림,빵,304,30.0,10.0,15.0,6.0,100g
크로플_프렌치 크로플,빵,215,15.0,3.0,11.0,8.0,100g
크로플_호떡 아이스 크로플,빵,217,15.53,3.54,10.61,9.9,100g
크로플_호호불어 호떡 크로플,빵,299,38.67,6.67,10.67,12.0,75g
크로플_황치즈 뽀또 크로플,빵,222,19.0,7.0,12.8,19.0,100g
크로플_황치즈크림에 스며든 뽀또 크로플,빵,268,35.79,5.26,10.53,8.42,95g
크로플_황치즈크림위에 뛰노는 큐브치즈 크로플,빵,260,29.57,5.22,12.17,9.57,115g
스파게티_미트 토마토 파스타,면,185,30.21,3.13,4.86,8.33,288g
스파게티_베이컨 크림 파스타,면,231,28.96,5.39,10.44,3.03,297g
스파게티_쉬림프 로제 파스타,면,247,29.63,6.06,11.78,6.73,297g
스파게티_뇨끼,면,172,18.8,4.7,8.7,1.5,550g
미트볼조림_샤샤삭슈카,요리,108,10.7,4.7,5.1,4.7,370g
감자튀김_웨지감자,요리,231,32.25,3.94,9.58,3.27,250g
샐러드_트리플 치즈 샐러드,반찬,164,15.27,5.91,8.71,7.07,203g
샐러드_과일리코타 샐러드,반찬,111,11.4,3.2,5.8,8.4,260g
샐러드_시저치킨 샐러드,반찬,126,2.2,15.0,6.4,2.2,270g
샐러드_치킨콥 샐러드,반찬,124,6.4,5.8,8.4,3.6,410g
빙수_달고나 컵빙수,디저트,100,19.5,1.3,1.92,17.61,100g
빙수_딸기 요거트 빙수,디저트,140,24.29,5.01,2.52,20.39,690g
빙수_딸기 요거트 컵빙수,디저트,159,31.4,3.03,2.4,20.45,242g
빙수_딸기 컵빙수,디저트,98,19.69,1.24,1.62,16.46,100g
빙수_옛날 컵빙수,디저트,117,23.41,1.73,1.78,17.76,100g
빙수_옛날 컵빙수,디저트,203,30.39,8.76,5.21,14.05,233g
빙수_제주 한라봉 빙수,디저트,145,23.85,6.76,2.5,20.04,670g
빙수_초코 씨리얼 빙수,디저트,159,24.61,6.44,3.89,18.13,545g
빙수_치즈 컵빙수,디저트,109,18.19,1.03,3.53,15.79,100g
빙수_팥빙수,디저트,269,50.22,4.44,5.33,31.11,225g
샤베트_블루파인 샤베트,디저트,40,9.36,0.23,0.17,7.66,470g
샤베트_와인 샤베트,디저트,74,17.66,0.21,0.43,15.53,470g
아이스크림_31요거트 아이스크림,디저트,172,26.96,4.35,5.22,22.61,115g
아이스크림_그린티 아이스크림,디저트,213,23.48,4.35,11.3,17.39,115g
아이스크림_뉴욕치즈 케이크 아이스크림,디저트,257,29.57,5.22,13.04,20.0,115g
아이스크림_망고탱고 아이스크림,디저트,173,26.96,2.61,6.09,25.22,115g
아이스크림_민트초콜릿칩 아이스크림,디저트,225,23.48,3.48,13.04,20.0,115g
아이스크림_바닐라 아이스크림,디저트,214,22.61,3.48,12.17,18.26,115g
아이스크림_바람과함께사라지다 아이스크림,디저트,234,29.57,3.48,11.3,21.74,115g
아이스크림_베리베리스트로베리 아이스크림,디저트,198,23.48,2.61,10.43,20.87,115g
아이스크림_슈팅스타 아이스크림,디저트,226,30.43,2.61,10.43,23.48,115g
아이스크림_아몬드봉봉 아이스크림,디저트,271,32.17,4.35,13.91,22.61,115g
아이스크림_아포가토,디저트,97,8.89,1.67,6.11,7.78,180g
아이스크림_엄마는외계인 아이스크림,디저트,257,28.7,4.35,13.91,20.0,115g
아이스크림_이상한나라의솜사탕 아이스크림,디저트,250,28.7,4.35,13.04,26.96,115g
아이스크림_자모카아몬드훠지 아이스크림,디저트,237,29.57,4.35,11.3,21.74,115g
아이스크림_쫀떡궁합 아이스크림,디저트,245,29.57,4.35,12.17,24.35,115g
아이스크림_체리쥬빌레 아이스크림,디저트,208,27.83,2.61,9.57,24.35,115g
아이스크림_초코나무숲 아이스크림,디저트,252,29.57,6.09,12.17,20.0,115g
아이스크림_초콜릿무스 아이스크림,디저트,277,29.57,4.35,15.65,23.48,115g
아이스크림_초콜릿 아이스크림,디저트,238,27.83,4.35,12.17,20.87,115g
아이스크림_쿠키앤크림 아이스크림,디저트,198,21.74,4.35,10.43,15.65,115g
아이스크림_피스타치오아몬드 아이스크림,디저트,263,24.35,6.09,15.65,23.48,115g
아이스크림_31 올스타 아이스크림,디저트,253,30.43,3.48,13.04,23.48,115g
아이스크림_구름 속 시나모롤 아이스크림,디저트,233,31.3,3.48,10.43,21.74,115g
아이스크림_그릭요거트,디저트,135,7.45,6.67,8.77,2.29,100g
아이스크림_녹차 아이스크림,디저트,313,51.75,4.27,10.1,22.14,103g
아이스크림_뉴욕치즈케이크아츄,디저트,382,47.63,6.18,18.17,23.88,317g
아이스크림_다크 초코 나이트 아이스크림,디저트,302,33.91,4.35,16.52,25.22,115g
아이스크림_데코콘 아이스크림,디저트,323,49.9,5.31,11.33,10.31,98g
아이스크림_디노 젤리 아이스크림,디저트,223,28.7,3.48,10.43,21.74,115g
아이스크림_라이언망고 마카롱 아이스크림,디저트,195,30.43,2.61,6.96,22.61,115g
아이스크림_러브미 아이스크림,디저트,217,25.22,3.48,11.3,20.0,115g
아이스크림_레드 라즈베리 소르베 아이스크림,디저트,129,32.17,0.0,0.0,26.96,115g
아이스크림_레인보우샤베트 아이스크림,디저트,141,28.7,2.61,1.74,25.22,115g
아이스크림_마법사의 할로윈 아이스크림,디저트,254,28.7,3.48,13.91,25.22,115g
아이스크림_마시는 요거트,디저트,65,4.0,3.0,4.1,3.0,100g
아이스크림_메이플아츄,디저트,296,51.67,4.28,7.59,15.59,311g
아이스크림_바나나쥬빌레 아이스크림,디저트,217,24.35,2.61,12.17,20.0,115g
아이스크림_바닐라아몬드 크런치 아이스크림,디저트,218,26.96,6.09,9.57,5.22,115g
아이스크림_벅스 버니버니 당근당근 아이스크림,디저트,227,27.83,3.48,11.3,20.0,115g
아이스크림_블랙 소르베 아이스크림,디저트,122,30.43,0.0,0.0,19.13,115g
아이스크림_사랑에 빠진 딸기 아이스크림,디저트,254,28.7,3.48,13.91,22.61,115g
아이스크림_소프트 아이스크림,디저트,139,21.62,3.0,4.5,21.1,210g
아이스크림_수퍼 펭귄 시리얼 아이스크림,디저트,262,28.7,3.48,14.78,20.87,115g
아이스크림_시카고팝콘 아이스크림,디저트,232,25.22,3.48,13.04,20.87,115g
아이스크림_아이스 노티드 우유 생크림 아이스크림,디저트,236,26.09,3.48,13.04,20.0,115g
아이스크림_아이스 노티드 클래식 바닐라 아이스크림,디저트,196,27.83,3.48,7.83,19.13,115g
아이스크림_아이스크림,디저트,113,20.0,2.5,2.92,17.5,100g
아이스크림_아이스크림츄러스,디저트,189,29.49,3.7,6.2,7.78,297g
아이스크림_아츄 아이스크림,디저트,173,27.5,3.13,5.63,16.25,100g
아이스크림_알폰소 망고 아이스크림,디저트,215,29.57,2.61,9.57,23.48,115g
아이스크림_애플 민트 아이스크림,디저트,164,26.09,5.22,4.35,19.13,115g
아이스크림_에스프레소 앤 크림 아이스크림,디저트,178,22.61,4.35,7.83,20.87,115g
아이스크림_오레오 아츄,디저트,345,55.87,5.4,11.0,24.13,315g
아이스크림_오레오 쿠키 앤 크림치즈 아이스크림,디저트,265,28.7,4.35,14.78,16.52,115g
아이스크림_요아정 아이스크림,디저트,123,23.4,3.11,1.83,19.69,150g
아이스크림_월넛 아이스크림,디저트,240,28.7,7.83,10.43,24.35,115g
아이스크림_인절미 아츄,디저트,298,44.59,6.36,8.52,22.95,305g
아이스크림_찰떡이구마 아이스크림,디저트,210,31.3,3.48,7.83,21.74,115g
아이스크림_초코 아몬드 봉봉 아이스크림,디저트,268,30.43,5.22,13.91,22.61,115g
아이스크림_초코 퐁당 쿠키런 아이스크림,디저트,280,31.3,3.48,15.65,22.61,115g
아이스크림_초코넛 마카다미아 아이스크림,디저트,235,27.83,3.48,12.17,20.87,115g
아이스크림_초코 아이스크림,디저트,152,24.0,3.2,4.8,19.2,100g
아이스크림_초코 아이스크림,디저트,350,53.66,6.95,11.83,12.2,82g
아이스크림_초코아츄 아이스크림,디저트,201,30.3,3.64,7.27,17.58,100g
아이스크림_초코야 민트해 아이스크림,디저트,283,32.17,3.48,15.65,26.09,115g
아이스크림_초콜릿 칩 아이스크림,디저트,233,23.48,3.48,13.91,20.0,115g
아이스크림_춘식이가 반할수박에 아이스크림,디저트,143,33.91,0.0,0.87,24.35,115g
아이스크림_카라멜 아이스크림,디저트,387,50.41,5.51,18.06,13.27,98g
아이스크림_캠핑 앤 스모어 아이스크림,디저트,244,32.17,3.48,11.3,22.61,115g
아이스크림_컬러후레이크 아이스크림,디저트,398,61.46,5.21,14.58,19.06,96g
아이스크림_콘 아이스크림,디저트,323,49.9,5.31,11.33,10.31,98g
아이스크림_투둠초콜릿 프레첼 아이스크림,디저트,237,30.43,3.48,11.3,22.61,115g
아이스크림_파핑파핑 바나나 아이스크림,디저트,205,25.22,2.61,10.43,20.87,115g
아이스크림_팝핑 스타 라이즈 아이스크림,디저트,210,33.04,1.74,7.83,23.48,115g
아이스크림_프릳츠 커피 아이스크림,디저트,227,26.96,4.35,11.3,20.0,115g
아이스크림_피나콜라다 아이스크림,디저트,173,36.52,0.87,2.61,24.35,115g
아이스크림_피치 요거트 아이스크림,디저트,192,38.26,1.74,3.57,31.3,115g
아이스크림_흑당 아이스크림,디저트,162,34.19,1.94,1.74,25.16,100g
아이스크림_흑당아츄 아이스크림,디저트,202,37.44,2.56,4.62,22.56,100g
요구르트(액상)_그래놀라 요거트,디저트,61,8.03,1.3,2.66,2.95,390g
요구르트(액상)_그릭요거트,디저트,144,14.0,6.0,7.0,14.0,400g
요구르트(액상)_딸기요거트,디저트,75,15.8,1.73,0.55,15.6,100g
요구르트(액상)_마시는요거트 딸기,디저트,150,19.02,5.12,5.85,18.54,410g
요구르트(액상)_마시는요거트 블루베리,디저트,154,20.24,5.12,5.85,20.24,410g
요구르트(액상)_마시는요거트 플레인,디저트,126,12.25,5.25,6.25,12.25,400g
요구르트(액상)_망고요거트,디저트,72,14.8,1.55,0.7,13.0,100g
요구르트(액상)_블루베리 요거트,디저트,96,19.21,1.46,1.44,17.91,100g
요구르트(액상)_플레인요거트,디저트,62,13.2,2.16,0.7,12.7,100g
과ㆍ채주스_딸기바나나,디저트,59,11.4,1.01,1.05,10.9,100g
과ㆍ채주스_딸기 주스,디저트,51,12.54,0.1,0.03,10.6,100g
과ㆍ채주스_딸기 주스,디저트,81,19.57,0.43,0.21,13.62,470g
과ㆍ채주스_망고바나나,디저트,67,13.6,1.06,0.93,13.0,100g
과ㆍ채주스_망고 주스,디저트,29,6.46,0.09,0.35,6.1,100g
과ㆍ채주스_수박 주스,디저트,50,12.11,0.53,0.0,11.05,190g
과ㆍ채주스_수박 주스,디저트,29,6.38,0.43,0.21,5.96,470g
과ㆍ채주스_스트로베리 주스,디저트,53,13.16,0.39,0.0,11.58,190g
과ㆍ채주스_초코바나나,디저트,63,11.4,1.45,1.28,10.0,100g
과ㆍ채주스_딸기 쥬스,디저트,49,12.24,0.0,0.0,11.25,650g
과ㆍ채주스_수박 생과일 쥬스,디저트,32,5.64,0.57,0.07,3.69,650g
과ㆍ채주스_토마토 생과일 쥬스,디저트,18,1.98,0.46,0.09,1.11,650g
과ㆍ채주스_홍시 쥬스,디저트,30,5.47,0.16,0.06,3.13,650g
귤차_제주청귤티 아이스(ICED),디저트,37,8.22,0.06,0.0,7.85,650g
귤차_제주청귤티 핫(HOT),디저트,48,10.69,0.08,0.0,10.21,500g
기타차_레몬페퍼민트티 아이스(ICED),디저트,25,5.54,0.05,0.02,5.04,650g
기타차_레몬페퍼민트티 핫(HOT),디저트,33,7.2,0.07,0.03,6.55,500g
기타차_레몬허니블랙티 아이스(ICED),디저트,34,8.13,0.1,0.01,7.66,650g
기타차_레몬허니블랙티 핫(HOT),디저트,44,10.57,0.14,0.01,9.96,500g
기타차_배도라지차 아이스(ICED),디저트,41,10.15,0.0,0.0,7.78,650g
기타차_배도라지차 핫(HOT),디저트,53,13.2,0.0,0.0,10.12,500g
기타차_자몽히비스커스티 아이스(ICED),디저트,19,4.71,0.1,0.01,4.65,650g
기타차_자몽히비스커스티 핫(HOT),디저트,25,6.12,0.13,0.01,6.05,500g
